Bulk ID,Miller Index,Trajectory ID in OC22,Bulk Symbols,Energy_type,Melting_point (K),ΔEhull (meV/atom),Is_stable,Esurf.,Predicted Eadh (J/m2) ,Predicted Contact Angle θ ,Is_NNMD or iGAM
mp-684697,"(1, 0, 0)",Sc20O19_mp-684697_clean_nZSg3yaZgm,Sc40O38,GGA,2697,60.34,Unstable,3.87,-1.83,81.76,6-features iGAM
mp-563025,"(1, 0, 0)",Na6PbO5_mp-563025_clean_Ug83cjAPuP,Na12Pb2O10,GGA,816,33.76,Unstable,3.64,-1.72,85.7,6-features iGAM
mp-29525,"(1, 0, 0)",Rb3BiO3_mp-29525_clean_9jiCfrhhwA,Rb12Bi4O12,GGA,998,0,Stable,2.57,-1.76,84.24,6-features iGAM
mp-1184051,"(1, 1, 0)",CuBiO3_mp-1184051_clean_FFsGW2R1ZX,Cu1Bi1O3,GGA,984,167.38,Unstable,6.63,-1.96,77.12,6-features iGAM
mp-560875,"(1, 0, 0)",K2Ge4O9_mp-560875_clean_CUzTaqc4q3,K12Ge24O54,GGA,1346,5.84,Meta-stable,6.27,-1.87,80.51,6-features iGAM
mp-22588,"(1, 0, 0)",LuFeO3_mp-22588_clean_L0KPuiXPGS,Lu4Fe4O12,GGA+U,Not Found,36.04,Unstable,11.75,-1.82,82.05,6-features iGAM
mp-23494,"(1, 1, 1)",Ti-Bi3O5-4_mp-23494_clean_JP33t4JXXM,Ti2Bi24O40,GGA,1223,7.39,Meta-stable,2.74,-1.47,94.77,6-features iGAM
mp-17022,"(1, 0, 0)",Cs-MoO3-3_mp-17022_clean_0A51hD9ZcZ,Cs4Mo12O36,GGA+U,831,46.28,Unstable,11.19,-1.97,76.91,6-features iGAM
mp-30303,"(1, -1, -2)",Bi4O7_mp-30303_clean_D5Ps6kegX3,Bi8O14,GGA,1071,0,Stable,5.42,-2.12,71.33,6-features iGAM
mp-552098,"(1, 1, 3)",235508583253254_Bi2SeO2_mp-552098_clean_jAfg05KqaX,Bi4Se2O4,GGA,953,0,Stable,3.62,-1.82,82.03,6-features iGAM
mvc-11435,"(1, 0, 0)",Mn2AlO4_mvc-11435_clean_pxuKenBzqa,Mn16Al8O32,GGA+U,2078,121.07,Unstable,11.78,-1.95,77.42,6-features iGAM
mp-1235229,"(1, -1, 0)",Sr2LiO12_mp-1235229_clean_fFcPLaO68B,Sr2Li1O12,GGA,1139,130.74,Unstable,2.1,-1.46,95.16,6-features iGAM
mp-754959,"(0, 1, 1)",CrAgO4_mp-754959_clean_Dw01sL5VtF,Cr4Ag4O16,GGA+U,612,2.8,Meta-stable,5.56,-2.06,73.48,6-features iGAM
mp-18921,"(1, 0, -2)",NaCoO2_mp-18921_clean_DiHeRrKjXM,Na3Co3O6,GGA+U,1323,0,Stable,11.3,-2.1,72.05,6-features iGAM
mp-755959,"(1, 1, 0)",1010404_NaLiO_mp-755959_clean_MAkXjjq9Qs,Na8Li8O8,GGA,921,104.1,Unstable,1.61,-1.6,90,6-features iGAM
mvc-5744,"(1, 1, 0)",ReWO6_mvc-5744_clean_SaUx0E7Xse,Re4W4O24,GGA+U,997,25.33,Unstable,16.45,-1.84,81.41,6-features iGAM
mp-1183290,"(1, 1, 0)",BaPtO3_mp-1183290_clean_IZoIxVN5Oi,Ba1Pt1O3,GGA,1922,99.32,Unstable,5.67,-1.96,77,6-features iGAM
mp-18700,"(0, 1, 0)",K4SiO4_mp-18700_clean_YOWmagUHk3,K16Si4O16,GGA,1339,0,Stable,3.19,-1.65,88.39,6-features iGAM
mp-28231,"(2, 0, 1)",Ti2FeO5_mp-28231_clean_5WEAB1JCke,Ti8Fe4O20,GGA+U,1874,0,Stable,9.78,-2.04,74.15,6-features iGAM
mp-1262593,"(1, 1, 0)",AlCu7O12_mp-1262593_clean_tsDMSHKfKO,Al2Cu14O24,GGA,1387,220.08,Unstable,3.97,-1.61,89.86,6-features iGAM
mp-3982,"(1, 3, 3)",KCuO2_mp-3982_clean_X907BwClrk,K4Cu4O8,GGA,1111,0,Stable,3.63,-1.94,77.97,6-features iGAM
mp-28548,"(1, 1, 0)",Li8GeO6_mp-28548_clean_K90dEPHsuK,Li16Ge2O12,GGA,1567,0.64,Meta-stable,3.94,-1.84,81.5,6-features iGAM
mvc-7394,"(1, 0, 0)",CaW2O7_mvc-7394_clean_1mZtcSMTxW,Ca2W4O14,GGA+U,1794,214.16,Unstable,9.01,-1.98,76.46,6-features iGAM
mp-1541753,"(0, 1, 2)",Rb2MgO2_mp-1541753_clean_rxcg0Y8mBF,Rb8Mg4O8,GGA,809,0,Stable,3.64,-1.89,79.83,6-features iGAM
mp-23003,"(3, 1, 0)",Ce2BiO2_mp-23003_clean_GJg5PEC7BN,Ce4Bi2O4,GGA,1518,0,Stable,2.04,-1.45,95.52,6-features iGAM
mp-754146,"(1, 1, 0)",1031661_Rb3YO3_mp-754146_clean_5tTxiyWmSU,Rb12Y4O12,GGA,1588,21.26,Meta-stable,1.73,-1.35,98.99,6-features iGAM
mp-29164,"(0, 1, 0)",SrBiO3_mp-29164_clean_RnXEPq0fwi,Sr4Bi4O12,GGA,1262,0,Stable,3.39,-1.72,85.78,6-features iGAM
mp-17899,"(0, 1, 0)",Mn3V2O8_mp-17899_clean_IlsZY81Nwa,Mn12V8O32,GGA+U,1670,0,Stable,19.68,-2.05,73.66,6-features iGAM
mp-555531,"(1, 3, 0)",K5Tl3O_mp-555531_clean_gyPQR2GlJB,K40Tl24O8,GGA,456,0,Stable,0.66,-1.4,97.27,6-features iGAM
mp-754114,"(1, 0, 0)",SrSc2O4_mp-754114_clean_Q4KCLTZyYD,Sr8Sc16O32,GGA,2445,31.01,Unstable,6.23,-1.62,89.38,6-features iGAM
mp-1336,"(1, 1, 3)",90423983501299385769012_PdO_mp-1336_clean_CafZ0MJQk8,Pd2O2,GGA,1319,0,Stable,5.89,-2.05,73.84,6-features iGAM
mp-973579,"(1, 1, 0)",FePbO3_mp-973579_clean_EPrH8FeLB6,Fe1Pb1O3,GGA+U,1347,198.25,Unstable,6.96,-1.88,79.9,6-features iGAM
mp-674187,"(1, 1, 0)",Ba-IrO3-2_mp-674187_clean_81wqi0aVVj,Ba9Ir18O54,GGA,1772,0,Stable,6.75,-2.05,73.79,6-features iGAM
mp-973648,"(1, 1, 1)",FeRhO3_mp-973648_clean_58J1Y2xy2y,Fe1Rh1O3,GGA+U,1784,935.13,Unstable,2.19,-1.47,94.6,6-features iGAM
mvc-1623,"(0, 1, 0)",MgTa2O6_mvc-1623_clean_zXQNIbHIXe,Mg2Ta4O12,GGA,2089,61.22,Unstable,9.87,-1.93,78.25,6-features iGAM
mp-27418,"(1, 3, 3)",KAuO2_mp-27418_clean_Pxe4VFV4v8,K1Au1O2,GGA,1007,27.93,Unstable,3.1,-1.64,88.54,6-features iGAM
mvc-12238,"(0, 1, 0)",CaV4O8_mvc-12238_clean_V2jniiMNLJ,Ca2V8O16,GGA+U,2225,88.1,Unstable,13.51,-2.01,75.3,6-features iGAM
mp-762236,"(1, 0, 1)",Al3CrO6_mp-762236_clean_STmn65cqRW,Al6Cr2O12,GGA+U,2159,15.48,Meta-stable,8.22,-1.78,83.72,6-features iGAM
mp-1216564,"(2, -1, 2)",Tl2O3_mp-1216564_clean_XVUuDaJdTh,Tl2O3,GGA,1068,116.13,Unstable,4.13,-1.74,84.97,6-features iGAM
mp-19241,"(1, 1, 0)",1028014_BaNiO3_mp-19241_clean_OBownxieqP,Ba2Ni2O6,GGA+U,1821,0,Stable,7.81,-1.99,75.84,6-features iGAM
mp-755071,"(3, 2, 3)",SnO2_mp-755071_clean_cn3PcqmqQ6,Sn4O8,GGA,2012,57.02,Unstable,6.22,-2.06,73.35,6-features iGAM
mp-216,"(1, 0, 0)",Sc2O3_mp-216_clean_RZiw2LaUne,Sc32O48,GGA,2700,0,Stable,8.73,-2.01,75.18,6-features iGAM
mp-997009,"(2, 0, 1)",BaAuO2_mp-997009_clean_g3x8HDAgVL,Ba4Au4O8,GGA,1450,29.48,Unstable,4.25,-1.67,87.64,6-features iGAM
mp-30950,"(1, 1, 2)",Sr3GeO_mp-30950_clean_4MKHrv3jDS,Sr12Ge4O4,GGA,1588,0,Stable,1.4,-1.56,91.57,6-features iGAM
mp-1653040,"(1, 2, 1)",CaV5O7_mp-1653040_clean_hIFtMwfD8M,Ca2V10O14,GGA+U,2366,42.11,Unstable,7.19,-1.98,76.28,6-features iGAM
mp-504974,"(1, 0, 0)",Fe2Mo3O8_mp-504974_clean_6F0OpRzjs7,Fe4Mo6O16,GGA+U,1796,175.87,Unstable,20.36,-2.05,73.64,6-features iGAM
mp-760439,"(3, 1, 0)",TaTiO4_mp-760439_clean_Cbe8qbPAOI,Ta4Ti4O16,GGA,2157,4.97,Meta-stable,7.28,-1.83,81.68,6-features iGAM
mp-12630,"(1, 1, 0)",MgSeO4_mp-12630_clean_BdUM423kBL,Mg4Se4O16,GGA,1144,1.68,Meta-stable,9.22,-2.04,74.17,6-features iGAM
mp-554874,"(1, 0, -2)",CuGeO3_mp-554874_clean_zVMkj3BLUO,Cu4Ge4O12,GGA,1405,92.87,Unstable,7.23,-2.01,75.22,6-features iGAM
mp-1220430,"(3, 0, 1)",NbMoO4_mp-1220430_clean_8TUWw1Zo3C,Nb2Mo2O8,GGA+U,1659,0,Stable,13.44,-2.02,74.77,6-features iGAM
mp-984729,"(3, 1, 0)",BaSr3O4_mp-984729_clean_gkfIXv8xv0,Ba1Sr3O4,GGA,2661,44.25,Unstable,2.22,-1.38,97.96,6-features iGAM
mp-11641,"(1, 1, 0)",Ag2SeO4_mp-11641_clean_hXcfXvyV0J,Ag16Se8O32,GGA,732,0,Stable,5,-2.14,70.52,6-features iGAM
mp-1190488,"(0, 1, 0)",Al4CdO7_mp-1190488_clean_iYXp8NyWXW,Al16Cd4O28,GGA,2142,0,Stable,4.2,-1.82,82.19,6-features iGAM
mp-7831,"(1, 0, 0)",1026124_MgIn2O4_mp-7831_clean_MgClNUYAaO,Mg8In16O32,GGA,1879,27.02,Unstable,6.14,-1.9,79.45,6-features iGAM
mp-1132,"(2, 2, 1)",CdO_mp-1132_clean_n9mD1Va4w4,Cd4O4,GGA,1664,0,Stable,6.26,-2.09,72.28,6-features iGAM
mp-31488,"(1, 1, 0)",Li3NbO4_mp-31488_clean_R8Hg0vmSD4,Li24Nb8O32,GGA,1628,0,Stable,4.07,-1.89,79.71,6-features iGAM
mp-7237,"(1, 0, 0)",CuAgO2_mp-7237_clean_r6XOEeghAq,Cu2Ag2O4,GGA,897,18.87,Meta-stable,5.6,-1.99,75.98,6-features iGAM
mvc-687,"(1, -1, 2)",Bi-WO4-2_mvc-687_clean_eZ1ztSjgXa,Bi1W2O8,GGA+U,1092,109.06,Unstable,9.9,-1.88,80.03,6-features iGAM
mp-998552,"(3, 3, 1)",BaHfO3_mp-998552_clean_8Gmr22ZCXn,Ba1Hf1O3,GGA,2724,0,Stable,4.43,-1.93,78.11,6-features iGAM
mp-1040467,"(2, 1, 1)",RbOsO3_mp-1040467_clean_f8mUFltPy6,Rb1Os1O3,GGA,1220,90.56,Unstable,6.08,-1.94,77.94,6-features iGAM
mp-1102003,"(1, 0, -1)",VInO4_mp-1102003_clean_F7s0lajNKz,V2In2O8,GGA+U,1463,50.54,Unstable,8.68,-1.97,76.9,6-features iGAM
mp-17161,"(1, 0, 0)",K6CdO4_mp-17161_clean_GucILBNy8l,K12Cd2O8,GGA,702,0,Stable,3.37,-1.82,82.23,6-features iGAM
mp-19372,"(2, 2, 1)",WO2_mp-19372_clean_ZsGf8jsRZb,W4O8,GGA+U,1884,0,Stable,10.7,-1.99,75.85,6-features iGAM
mp-770977,"(0, 0, 1)",Ca2CeO4_mp-770977_clean_xYvAfdWM0w,Ca8Ce4O16,GGA,2389,65.17,Unstable,5.79,-1.81,82.6,6-features iGAM
mp-1279742,"(2, 1, 0)",904239835_FeO_mp-1279742_clean_Z7mPpmHsh6,Fe2O2,GGA+U,1982,0,Stable,19.26,-2.03,74.34,6-features iGAM
mp-23018,"(1, 0, 1)",BiSbO4_mp-23018_clean_tzzDaToaBy,Bi4Sb4O16,GGA,1266,0,Stable,4.24,-1.8,83,6-features iGAM
mvc-12789,"(1, 0, 0)",ScMo3O8_mvc-12789_clean_XTGBdp4cgk,Sc2Mo6O16,GGA+U,1092,286.3,Unstable,13.61,-1.87,80.47,6-features iGAM
mp-768291,"(1, 0, 1)",Hg-SbO3-2_mp-768291_clean_IyCKVhcBpY,Hg2Sb4O12,GGA,825,95.35,Unstable,6.14,-2.01,75.34,6-features iGAM
mp-28783,"(3, 1, 3)",CoReO4_mp-28783_clean_XnfdiQxrgc,Co2Re2O8,GGA+U,1276,192.25,Unstable,7.06,-1.89,79.52,6-features iGAM
mp-1219936,"(1, 1, 1)",Pd7O8_mp-1219936_clean_zWrzlASQlv,Pd7O8,GGA,1415,56.28,Unstable,6.09,-2.06,73.38,6-features iGAM
mp-1238961,"(0, 1, 1)",Ta2O5_mp-1238961_clean_TeHsaxMoYi,Ta2O5,GGA,2085,10.04,Meta-stable,11.55,-1.81,82.37,6-features iGAM
mp-3443,"(1, 0, 0)",Cd-GaO2-2_mp-3443_clean_bHS8grRJuy,Cd8Ga16O32,GGA,1874,0,Stable,6.42,-2.07,73.17,6-features iGAM
mp-565203,"(1, 0, 0)",Mn2O3_mp-565203_clean_z0yd3zpoJY,Mn32O48,GGA+U,1912,0.16,Meta-stable,15.77,-1.99,75.86,6-features iGAM
mp-1080187,"(1, 1, 0)",MnHgO3_mp-1080187_clean_kmPUGMhVFo,Mn1Hg1O3,GGA+U,879,292.71,Unstable,9.01,-1.96,77.12,6-features iGAM
mp-849263,"(1, 0, 0)",NaV10O15_mp-849263_clean_7PLSoBkoZ8,Na4V40O60,GGA+U,1465,51.18,Unstable,9.51,-1.88,80.09,6-features iGAM
mp-755894,"(2, 1, 2)",Li2O_mp-755894_clean_1lbcPX4Llp,Li8O4,GGA,1706,84.8,Unstable,4.98,-2.14,70.56,6-features iGAM
mp-1293833,"(2, -1, 2)",Y-FeO2-2_mp-1293833_clean_jkktxDoHpr,Y2Fe4O8,GGA+U,1942,18.97,Meta-stable,13.07,-1.93,78.25,6-features iGAM
mp-768499,"(0, 0, 1)",FeNiO3_mp-768499_clean_jONmMgheMg,Fe6Ni6O18,GGA+U,1908,81.97,Unstable,17.5,-2.03,74.5,6-features iGAM
mp-19019,"(0, 1, 1)",NiMoO4_mp-19019_clean_phU6JbUJDT,Ni2Mo2O8,GGA+U,1281,9.53,Meta-stable,18.49,-1.91,78.84,6-features iGAM
mp-18864,"(1, 0, 1)",Rb2WO4_mp-18864_clean_CgJVeffC1y,Rb8W4O16,GGA+U,1289,0,Stable,5.93,-2.03,74.45,6-features iGAM
mp-560670,"(1, 0, 0)",MgSeO4_mp-560670_clean_qu6X9P1TyY,Mg4Se4O16,GGA,1144,0,Stable,3.5,-1.82,82.12,6-features iGAM
mp-973960,"(1, 1, 1)",KScO3_mp-973960_clean_X0eH9IOFEf,K1Sc1O3,GGA,1187,203.32,Unstable,4.34,-1.79,83.43,6-features iGAM
mp-3721,"(1, 0, 0)",SrHfO3_mp-3721_clean_ajqhEiW4ig,Sr4Hf4O12,GGA,2772,6.06,Meta-stable,9.73,-1.8,83.03,6-features iGAM
mp-754250,"(1, 2, -2)",NaLuO2_mp-754250_clean_0V7PfMutrj,Na8Lu8O16,GGA,1486,6.9,Meta-stable,5.2,-1.88,79.88,6-features iGAM
mp-1178535,"(0, 0, 1)",Ba3Y2O6_mp-1178535_clean_M4VLjH8pZx,Ba6Y4O12,GGA,2501,34.53,Unstable,6.86,-1.78,83.52,6-features iGAM
mp-1222192,"(1, 2, -1)",123212059559_Mg2AlO6_mp-1222192_clean_pe0795HbdC,Mg2Al1O6,GGA,2071,501.88,Unstable,1.77,-1.45,95.57,6-features iGAM
mp-28619,"(1, 2, 1)",VSeO4_mp-28619_clean_emKzqltw6T,V4Se4O16,GGA+U,780,4.15,Meta-stable,9.54,-2.02,74.98,6-features iGAM
mp-1017,"(2, -1, 2)",Zr3O_mp-1017_clean_FtOkiD3UJs,Zr6O2,GGA,2222,4.17,Meta-stable,5.28,-2.14,70.35,6-features iGAM
mp-972066,"(3, 3, 1)",ZrAlO3_mp-972066_clean_SQVp2eyYSx,Zr1Al1O3,GGA,2286,515.99,Unstable,1.58,-1.42,96.51,6-features iGAM
mp-558781,"(2, 1, 2)",ScTaO4_mp-558781_clean_2Aoe4pHuOE,Sc2Ta2O8,GGA,2570,0,Stable,5.83,-1.93,78.09,6-features iGAM
mvc-7386,"(1, 0, -1)",ZnMo2O7_mvc-7386_clean_lzpIj0ujAs,Zn2Mo4O14,GGA+U,1111,61.96,Unstable,7.47,-2.01,75.16,6-features iGAM
mp-18844,"(1, 2, 1)",CaMn2O4_mp-18844_clean_9SPfyNjaqR,Ca4Mn8O16,GGA+U,1580,0,Stable,10.67,-2.03,74.69,6-features iGAM
mp-9126,"(2, 0, 1)",Sr-SbO3-2_mp-9126_clean_CmrZMZxU0c,Sr1Sb2O6,GGA,1605,0,Stable,5.7,-2.09,72.1,6-features iGAM
mp-21602,"(1, 0, 0)",Zr4Ni2O_mp-21602_clean_SqbQz41dUQ,Zr64Ni32O16,GGA+U,1927,544.87,Unstable,12.72,-2.07,72.88,6-features iGAM
mp-17275,"(1, 1, 0)",SrY2O4_mp-17275_clean_bIPYuEN1NM,Sr4Y8O16,GGA,2489,4.16,Meta-stable,6.36,-2.01,75.24,6-features iGAM
mp-19163,"(1, 0, 1)",SrWO4_mp-19163_clean_n5R1hdvSXa,Sr4W4O16,GGA+U,1850,0,Stable,10.8,-1.91,78.85,6-features iGAM
mp-5787,"(1, 3, 0)",SrCuO2_mp-5787_clean_dFcAzMIBCb,Sr4Cu4O8,GGA,1419,0,Stable,6.25,-2.05,73.77,6-features iGAM
mp-757343,"(0, 0, 1)",Ca4Bi6O13_mp-757343_clean_vjnGmg4z2R,Ca16Bi24O52,GGA,1248,2.84,Meta-stable,4.11,-1.7,86.66,6-features iGAM
mp-3395,"(2, 1, -1)",SrSeO3_mp-3395_clean_QuYLsOEeZl,Sr2Se2O6,GGA,1387,0,Stable,3.95,-1.75,84.75,6-features iGAM
mp-1103016,"(2, 1, 1)",Ti3CuO8_mp-1103016_clean_q1CE4s5pJ7,Ti3Cu1O8,GGA,1400,80.77,Unstable,4.79,-2.05,73.93,6-features iGAM
mp-7118,"(1, 2, 2)",Rb4SnO4_mp-7118_clean_oqpHBnxiA4,Rb8Sn2O8,GGA,1274,0,Stable,2.35,-1.69,86.68,6-features iGAM
mp-1228877,"(1, 0, 0)",Ba-GaO2-2_mp-1228877_clean_K5EwRqbi1l,Ba8Ga16O32,GGA,1887,0,Stable,6.1,-2.03,74.59,6-features iGAM
mp-6948,"(1, 0, 3)",KNaO_mp-6948_clean_58Zv04fsra,K2Na2O2,GGA,742,14.9,Meta-stable,3.14,-1.6,90.08,6-features iGAM
mp-755021,"(1, 1, 0)",ReO3_mp-755021_clean_k2wh8QBCMh,Re6O18,GGA,647,5.61,Meta-stable,5.18,-1.87,80.54,6-features iGAM
mp-9631,"(3, 1, 0)",AlAgO2_mp-9631_clean_8hdBhxnUrO,Al2Ag2O4,GGA,1130,0,Stable,6.72,-2.12,70.96,6-features iGAM
mp-15096,"(1, 0, -1)",SrMo5O8_mp-15096_clean_p5868A3knf,Sr4Mo20O32,GGA+U,2324,244.66,Unstable,16.91,-2.01,75.25,6-features iGAM
mp-10326,"(1, 0, 1)",Zn-ReO4-2_mp-10326_clean_2hBC3gRqrY,Zn1Re2O8,GGA,974,0,Stable,8.31,-2.03,74.61,6-features iGAM
mp-8727,"(1, 0, 0)",Ba4PtO6_mp-8727_clean_z9tEosZ460,Ba24Pt6O36,GGA,1771,0,Stable,7.28,-2.08,72.51,6-features iGAM
mp-769271,"(1, 1, 0)",Sr4Ta2O9_mp-769271_clean_CZpMOxRnAl,Sr8Ta4O18,GGA,2308,0,Stable,7.87,-2.02,75.03,6-features iGAM
mp-18933,"(1, 0, 0)",Li2WO4_mp-18933_clean_b2OKfzMea4,Li32W16O64,GGA+U,1189,5.11,Meta-stable,10.08,-2.04,74.23,6-features iGAM
mp-768242,"(0, 1, 0)",PtO3_mp-768242_clean_p8d0g326Pa,Pt4O12,GGA,1681,99.77,Unstable,4.02,-1.71,86.2,6-features iGAM
mp-849263,"(1, 0, 0)",NaV10O15_mp-849263_clean_CbCkTGY0nx,Na4V40O60,GGA+U,1465,51.18,Unstable,9.51,-1.88,80.09,6-features iGAM
mp-771650,"(1, 0, 0)",V2SiO7_mp-771650_clean_SbxtodkGHr,V8Si4O28,GGA+U,1222,51.58,Unstable,9.44,-1.96,76.94,6-features iGAM
mvc-11645,"(1, 0, 0)",Zn-FeO2-2_mvc-11645_clean_i9RArXcXBQ,Zn4Fe8O16,GGA+U,1837,14.92,Meta-stable,15.56,-1.87,80.43,6-features iGAM
mp-1103953,"(0, 0, 1)",Nb2Cu3O8_mp-1103953_clean_w2JhGD3h7D,Nb2Cu3O8,GGA,1509,66.23,Unstable,7.78,-2.05,73.69,6-features iGAM
mp-4066,"(1, 0, 0)",KGaO2_mp-4066_clean_8ndR1WDi1q,K16Ga16O32,GGA,1136,0,Stable,5.13,-1.96,77.1,6-features iGAM
mp-1207793,"(1, 0, 0)",Y3Sb5O12_mp-1207793_clean_D2IXlsg3PW,Y12Sb20O48,GGA,2097,0,Stable,2.99,-1.7,86.5,6-features iGAM
mp-1178395,"(1, 0, 0)",CsLiO_mp-1178395_clean_AC66lx0lme,Cs8Li8O8,GGA,875,89.96,Unstable,1.62,-1.54,92.06,6-features iGAM
mp-7863,"(1, 0, 0)",Rb2Sn2O3_mp-7863_clean_pOMXBObxy7,Rb6Sn6O9,GGA,1111,0,Stable,2.68,-1.69,86.84,6-features iGAM
mp-2133,"(3, 1, 0)",ZnO_mp-2133_clean_mF63cgAbEM,Zn2O2,GGA,2121,0,Stable,6.96,-2.15,70.18,6-features iGAM
mp-754403,"(1, 1, 1)",ZrO2_mp-754403_clean_3mh1oHFEQ1,Zr4O8,GGA,2899,14.89,Meta-stable,5.33,-1.85,81.06,6-features iGAM
mp-1187190,"(3, 3, 1)",SrPdO3_mp-1187190_clean_h4qfpZ3wIo,Sr1Pd1O3,GGA,1774,70.12,Unstable,3.01,-1.57,91.27,6-features iGAM
mp-996954,"(1, 2, 3)",51024953_CuPtO2_mp-996954_clean_BquNBgRHPm,Cu1Pt1O2,GGA,881,23.78,Meta-stable,5.52,-1.86,80.74,6-features iGAM
mp-755115,"(1, 0, -1)",CuReO4_mp-755115_clean_uuorfHvQvl,Cu2Re2O8,GGA,943,56.39,Unstable,8,-1.96,77,6-features iGAM
mp-753746,"(3, -1, 3)",Rb2O_mp-753746_clean_mCRfyQ5GK3,Rb6O3,GGA,779,0,Stable,1.18,-1.43,96.08,6-features iGAM
mp-1219666,"(1, 0, 0)",Rb3-SeO4-2_mp-1219666_clean_WvMrCSgnTI,Rb6Se4O16,GGA,1285,40.41,Unstable,3.97,-1.84,81.64,6-features iGAM
mp-754134,"(2, 2, -1)",90423983534_HfZrO4_mp-754134_clean_ezDqltO4do,Hf2Zr2O8,GGA,2642,38.95,Unstable,7.9,-1.91,78.79,6-features iGAM
mp-1208589,"(1, 1, 1)",90423983530393683854_TaMnO4_mp-1208589_clean_oPaX2UXEi7,Ta2Mn2O8,GGA+U,2056,13.14,Meta-stable,10.76,-1.87,80.47,6-features iGAM
mp-754239,"(1, 2, 1)",1027031_ScGaO3_mp-754239_clean_PzEQpmSXeW,Sc4Ga4O12,GGA,2109,76.46,Unstable,7.5,-2.07,72.97,6-features iGAM
mp-1227338,"(1, 0, 0)",Be3ZnO4_mp-1227338_clean_FdUBnKwGhc,Be6Zn2O8,GGA,1473,86.32,Unstable,8.28,-2.1,72.02,6-features iGAM
mp-753391,"(1, 0, 0)",Co3WO8_mp-753391_clean_jr2tiEU9ep,Co6W2O16,GGA+U,1336,92.91,Unstable,12.76,-1.96,77.07,6-features iGAM
mp-754597,"(0, 1, 0)",LuTlO3_mp-754597_clean_D1VinsnkC6,Lu4Tl4O12,GGA,1633,83.76,Unstable,5.36,-1.98,76.37,6-features iGAM
mp-753157,"(0, 1, 0)",TiFe2O5_mp-753157_clean_VCQZMAnNU5,Ti4Fe8O20,GGA+U,1738,24.26,Meta-stable,15.39,-1.89,79.49,6-features iGAM
mp-1025349,"(2, 1, 2)",Sr2ZrO4_mp-1025349_clean_vxGxzZMyKe,Sr4Zr2O8,GGA,2572,34.57,Unstable,4.02,-1.49,93.92,6-features iGAM
mp-756156,"(1, 3, 0)",Rb2ZrO3_mp-756156_clean_eZMpeMdh6Y,Rb8Zr4O12,GGA,2611,0,Stable,4.66,-1.98,76.5,6-features iGAM
mp-540757,"(2, 0, 1)",V2CuO6_mp-540757_clean_BB9gSBvRhZ,V4Cu2O12,GGA+U,958,17.9,Meta-stable,12.54,-1.84,81.46,6-features iGAM
mp-754597,"(1, 3, 2)",LuTlO3_mp-754597_clean_NzvidccTSd,Lu4Tl4O12,GGA,1633,83.76,Unstable,4.47,-1.99,76.12,6-features iGAM
mvc-1666,"(0, 1, 0)",1020269_Ta2ZnO6_mvc-1666_clean_LWRZ63L84h,Ta4Zn2O12,GGA,2063,55.37,Unstable,6.15,-2.04,74.33,6-features iGAM
mp-996969,"(1, 1, -1)",AgBiO2_mp-996969_clean_Rrjiy52b8N,Ag2Bi2O4,GGA,979,2.55,Meta-stable,3.38,-1.8,82.93,6-features iGAM
mp-1180416,"(0, 0, 1)",Mg10-SiO6-3_mp-1180416_clean_sy1vGk4eGg,Mg20Si6O36,GGA,2196,132.05,Unstable,12.5,-1.95,77.47,6-features iGAM
mp-1183971,"(1, 1, 0)",CsRuO3_mp-1183971_clean_mAbo2pexDA,Cs1Ru1O3,GGA,907,378.26,Unstable,3.42,-1.69,86.71,6-features iGAM
mp-2589,"(1, 1, 0)",509358681_MgO2_mp-2589_clean_ALVtPnCczH,Mg4O8,GGA,2226,14.42,Meta-stable,5.81,-1.91,78.94,6-features iGAM
mp-1209897,"(1, 0, 2)",Ni-PtO2-3_mp-1209897_clean_gY1ORTPEHW,Ni2Pt6O12,GGA+U,1464,0.97,Meta-stable,9.49,-2.04,74.31,6-features iGAM
mp-542882,"(1, 0, 1)",Cr-AgO2-2_mp-542882_clean_S3gr3iiPgu,Cr4Ag8O16,GGA+U,704,24.03,Meta-stable,8.24,-1.9,79.14,6-features iGAM
mp-22450,"(1, 0, 0)",1020271_Li2PbO3_mp-22450_clean_tktCn3QA7W,Li8Pb4O12,GGA,1032,0,Stable,4.26,-2.11,71.48,6-features iGAM
mp-17833,"(1, 3, 0)",Ba3GeO_mp-17833_clean_skvMPXVZAq,Ba12Ge4O4,GGA,1640,0,Stable,1.22,-1.43,96.09,6-features iGAM
mp-1096875,"(0, 1, 0)",CrAgO2_mp-1096875_clean_QaFU241UDX,Cr4Ag4O8,GGA+U,609,92.48,Unstable,6.42,-2.12,71.02,6-features iGAM
mp-2652,"(1, 0, 0)",Y2O3_mp-2652_clean_35d4FtvHUd,Y32O48,GGA,2677,0,Stable,4.12,-1.66,87.94,6-features iGAM
mp-555682,"(1, 0, 0)",Sn-SeO3-2_mp-555682_clean_D1Hhm6AfMl,Sn2Se4O12,GGA,1230,4.46,Meta-stable,5.35,-1.97,76.55,6-features iGAM
mp-578610,"(1, 1, 0)",NaMoO2_mp-578610_clean_SGHMZpyskb,Na3Mo3O6,GGA+U,1130,0,Stable,15.54,-2.14,70.4,6-features iGAM
