Bulk ID,Miller Index,Trajectory ID in OC22,Bulk Symbols,Energy_type,Melting_point (K),ΔEhull (meV/atom),Is_stable,Esurf.,Predicted Eadh (J/m2) ,Predicted Contact Angle θ ,Is_NNMD or iGAM
mp-21126,"(0, 0, 1)",1020926_V2PbO6_mp-21126_clean_7oOfxEJcXC,V8Pb4O24,GGA+U,982,0,Stable,9.29,-2.03,74.52,6-features iGAM
mp-774332,"(0, 1, 0)",Na2Co2O3_mp-774332_clean_kRddw6MefF,Na4Co4O6,GGA+U,1174,3.82,Meta-stable,8.14,-2.09,72.41,6-features iGAM
mp-1184418,"(2, 1, 2)",Fe2Ir2O5_mp-1184418_clean_5rSDRUoA71,Fe2Ir2O5,GGA+U,1334,722.08,Unstable,7.04,-1.93,78.07,6-features iGAM
mp-5860,"(2, 1, 3)",K2HgO2_mp-5860_clean_9UinmsrVlO,K4Hg2O4,GGA,694,0,Stable,3.21,-1.83,81.77,6-features iGAM
mvc-7381,"(1, 0, 1)",ZnW2O7_mvc-7381_clean_262wHgxPlE,Zn2W4O14,GGA+U,1246,218.78,Unstable,14.06,-1.94,77.99,6-features iGAM
mp-37692,"(2, 2, -1)",Li3RuO4_mp-37692_clean_ID7QSHPUCZ,Li6Ru2O8,GGA,1543,0,Stable,7.77,-2.1,71.99,6-features iGAM
mp-561465,"(2, -1, 2)",TlSbO3_mp-561465_clean_oMdn3l2dz2,Tl4Sb4O12,GGA,1076,134.77,Unstable,2.37,-1.55,91.82,6-features iGAM
mp-1186816,"(2, 1, 2)",Pt2Rh2O5_mp-1186816_clean_JlDajg6S0M,Pt2Rh2O5,GGA,1458,804.27,Unstable,-0.03,-1.44,95.99,6-features iGAM
mp-20694,"(1, 1, 0)",K2Pb2O3_mp-20694_clean_jocEu1sQRY,K8Pb8O12,GGA,1057,0,Stable,3.74,-1.9,79.47,6-features iGAM
mp-1276433,"(2, 2, -1)",TiVO4_mp-1276433_clean_Qoj2NtpkbD,Ti2V2O8,GGA+U,1851,22.67,Meta-stable,8.75,-1.85,81.28,6-features iGAM
mp-28891,"(1, 1, 0)",Li7TaO6_mp-28891_clean_lmzb6UBOQN,Li21Ta3O18,GGA,1589,32.54,Unstable,6.16,-1.9,79.33,6-features iGAM
mp-865631,"(1, 1, 1)",LiNiO2_mp-865631_clean_ZvJnwrY6Oc,Li2Ni2O4,GGA+U,1542,0.11,Meta-stable,15.95,-2.15,69.84,6-features iGAM
mp-1016874,"(2, 1, 1)",235508583253254_SiHgO3_mp-1016874_clean_YM8yar1uCW,Si1Hg1O3,GGA,947,494.28,Unstable,1.53,-1.47,94.73,6-features iGAM
mp-760414,"(2, 1, 0)",Ti3PdO_mp-760414_clean_Tb3pLnquVO,Ti12Pd4O4,GGA,1285,0,Stable,4.74,-2.16,69.51,6-features iGAM
mp-674341,"(0, 0, 1)",Sc3TaO7_mp-674341_clean_nA6fQTmt0y,Sc12Ta4O28,GGA,2662,184.4,Unstable,5.21,-1.81,82.7,6-features iGAM
mp-1100912,"(2, 0, -1)",VMoO5_mp-1100912_clean_tjvfSG5J7D,V1Mo1O5,GGA+U,962,52.31,Unstable,7.56,-1.99,76.14,6-features iGAM
mp-774941,"(1, 0, 0)",Li-NiO2-2_mp-774941_clean_rT1tXyB9hO,Li8Ni16O32,GGA+U,1469,0,Stable,18.5,-2.06,73.32,6-features iGAM
mp-5784,"(0, 1, 0)",Na2GeO3_mp-5784_clean_ChgPaagUk8,Na8Ge4O12,GGA,1314,0,Stable,4.39,-2.09,72.2,6-features iGAM
mp-754588,"(1, 0, 1)",1027186_ZrBiO4_mp-754588_clean_m8JsqB4T1F,Zr4Bi4O16,GGA,1738,78.56,Unstable,4.17,-1.67,87.63,6-features iGAM
mp-1238961,"(2, 1, 0)",Ta2O5_mp-1238961_clean_MsFrFYsVLc,Ta2O5,GGA,2085,10.04,Meta-stable,6.44,-1.72,85.72,6-features iGAM
mp-13801,"(1, 0, 0)",Tl2Pt2O7_mp-13801_clean_lniChtLVzI,Tl16Pt16O56,GGA,830,0,Stable,7.53,-2.01,75.26,6-features iGAM
mp-849263,"(1, 0, 0)",NaV10O15_mp-849263_clean_bb6wQB7ygJ,Na4V40O60,GGA+U,1465,51.18,Unstable,9.51,-1.88,80.09,6-features iGAM
mp-545512,"(2, 0, 1)",CaO_mp-545512_clean_bihrrBSD74,Ca2O2,GGA,2855,65.04,Unstable,5.12,-2.05,73.61,6-features iGAM
mp-756354,"(1, 1, 1)",SrSc2O4_mp-756354_clean_CB8DeUtkKo,Sr4Sc8O16,GGA,2445,25.98,Unstable,6.47,-1.76,84.39,6-features iGAM
